codigo,nome,nome_bairro,faixa_preco,populacao,densidade_demografica,weekday,weekday_count,periodo_manha,manha_count,periodo_tarde,tarde_count,periodo_noite,noite_count,endereco
365303540285208,Doces de uma Diva,Jardim do Trevo,1,52376,3893.865837973667,Wed,24,manha,4,tarde,2,noite,18,"Rua Celso Luglio, 13051-496 Campinas"
430038830523836,Los Machuchos - Paletas Gourmet,Barão Geraldo,2,38740,1010.9445050442843,Wed,54,manha,21,tarde,17,noite,16,"Rua Albino J B de Oliveira, 716, 13084-008 Campinas"
446670625402918,Baiano Lanches,Ouro Verde,1,141490,4786.3739386353645,Wed,30,manha,14,tarde,8,noite,8,"Avenida Arimana, 13056440 Campinas"
455284261487558,Açai Do Bebé.,Taquaral,1,62735,4755.858116457308,Wed,32,manha,7,tarde,7,noite,18,"Odilon MAUDONNET 33, 13088-651 Campinas"
499852636787565,Avenidas Lanchonete e Restaurante,Amoreiras,2,60786,6047.275114904794,Wed,31,manha,10,tarde,13,noite,8,"Rua Manoel Alexandre Marcondes Machado, 293 Jd. do Lago, 13030-012 Campinas"
597572387008166,Barril379,Swift,2,86361,6354.185060921773,Wed,47,manha,8,tarde,26,noite,13,"Avenida Dr. Arlindo Joaquim de Lemos, 379, 13100-450 Campinas"
1211000925597515,Armazém dos Ovos,Campo Grande,0,105720,2248.954976227704,Fri,23,manha,3,tarde,17,noite,3,"Manoel Marques Lopes, 34, 13058-512 Campinas"
1395217524114695,Mineirinho Lanches,Jardim do Trevo,0,52376,3893.865837973667,Fri,16,manha,3,tarde,11,noite,2,"Rua Jair Ferreira n° 96 Jardim San Diego, 13052573 Campinas"
1412494075631056,Art dos Sabores,Alphavile Campinas,0,13188,580.7593732660448,Fri,10,manha,3,tarde,6,noite,1,"Rua Tomas Nielsen Junior, 13097105 Campinas"
407810979387258,Salgaderia As Meninas,PUCCamp (Roseira),3,112644,7192.09306483125,Fri,22,manha,7,tarde,7,noite,8,"Rua Sílvio Bachetti, 13060-821 Campinas"
654248204700168,Comida Boa,Amoreiras,0,60786,6047.275114904794,Fri,22,manha,10,tarde,7,noite,5,"Rua : Parana, 13030560 Campinas"
797668590351052,Pizza Express Campo Grande,Campo Grande,0,105720,2248.954976227704,Fri,5,manha,2,tarde,2,noite,1,"rua jose geraldo de almeida, 13058620 Campinas"
549794755100433,Café e Padaria Barão Francês,Barão Geraldo,1,38740,1010.9445050442843,Mon,114,manha,42,tarde,54,noite,18,"Rua Luiz Vicentim, 10, 13084754 Campinas"
1454791724844295,Batata & cia,Swift,2,86361,6354.185060921773,Sat,28,manha,7,tarde,14,noite,7,"Parque Jambeiro, Av Washington Luís 651 Campinas"
180638218648675,Carrefour Valinhos,Rural Bandeirantes (Pedra Branca),3,14056,300.20140148093094,Sat,35,manha,17,tarde,9,noite,9,"Av Eng. Antonio F. de Paula Souza, 3900, 13044-370 Campinas"
202489873467640,Adega da Família,Jardim Capivari,1,23892,3344.775642999938,Sat,65,manha,16,tarde,23,noite,26,"Avenida Andre Tosello, 655 - Jd P Viracopos, 13052220 Campinas"
211569545688921,Todo Dia Doceria & Confeitaria,Ouro Verde,0,141490,4786.3739386353645,Sat,50,manha,21,tarde,20,noite,9,"Av Mario Trevenzolli,943, 13056050 Campinas"
557361084467209,Clube Nashville,Flamboyant,3,57756,4607.542022002218,Sat,14,manha,5,tarde,2,noite,7,"Rua dos Contabilistas 139, 13076430 Campinas"
211439179270094,No Palito,Barão Geraldo,0,38740,1010.9445050442843,Sun,20,manha,6,tarde,5,noite,9,"Rua Tereza Geraij Zogbi Mokarzel, 33, Campinas"
311021962275040,Atacadão Dom Pedro,Barão Geraldo,1,38740,1010.9445050442843,Sun,93,manha,41,tarde,31,noite,21,"Rodovia Dom Pedro I KM-139, 13080-395 Campinas"
